,full_text,username
165,"@convomf Pernah, dan yg paling berkesan tu 2020, pertemanannya beuhh kentel banget. Setelah itu 2021-sekarang kek cinta cinta tai apalagi sekarang pada menormalisasi lgbt gila gila. Jadi ga tertarik lagi masuk game game itu",hitutkeboo
166,@idextratime Improve banget ni timnas pro lgbt sejak pildun kemarin,avixena_
167,@karimhellal @ChatOccitan hannn! propagande LGBT 😱 #noussachiez,zithoun3
168,@egreltiyesili Tuhafff,Sedasevdat55111
169,@idextratime @bliblidotcom Jerman ini kalo fokus maen bola aja ga ikut2 LGBT kek kemarin yakin gacor lagi kayak dulu,FadlyMadridist5
170,"@convomfs iya nder emang banyak yg ngira gitu, tapi saya pas nonton gak ada kepikiran mereka tu lesbian (soalnya ghibli agak gak mungkin ngangkat tema lgbt). dari sekian banyak movie ghibli, marnie was there tu membekas banget buat saya.. all the implied feelings were conveyed perfectly 💓 https://t.co/nourX6UvsV",ojoget
171,"@NaresPradipta kak sorry lewat tl, berani banget ngetweet ttg lgbt, apa ga takut? 🥺",biuwwzyy
172,@FredArizona lgbt,BoyElectric
173,"@amaaaa__w kak sorry lewat tl, berani banget ngetweet ttg lgbt, apa ga takut? 🥺",kadeknop1k
174,"@NaresPradipta kak sorry lewat tl, berani banget ngetweet ttg lgbt, apa ga takut? 🥺",kadeknop1k
175,"@NaresPradipta kak sorry lewat tl, berani banget ngetweet ttg lgbt, apa ga takut? 🥺",rdhaldnsyh
176,@awomaninnowhere @liiliikooo @kitkattired LGBT,mrgh2323
177,prancis kalah sama negara lgbt,bintangsryp
178,Perdon x tener gustos lgbt,kato_artsy
179,@PaijoKhentir bukan salah lgbt ya... salah rakyat indo mendzolimi imam mahdi,txtfromadrian
180,@eeveedaneve Lgbt,neperpas
181,@remustrans lgbt,joelzzor
182,"kenapa sih setiap ada pembahasan ship bxg, ga di genshin atau di hsr selalu ada party pooper yg ngetik *** into men/girls only."" SMUA AJA ANJING LGBT, GA ADA YG NORMAL SEMUA IYA. SEMUA SHIP LU KOMENIN GITU BNGST. JDI SIAPA YG NORMAL? NPC?""",shrirabu
183,LGBT : https://t.co/2Fnc1LExfx,volzzee_
184,Azab melarang pemain puasa kalah sama tim pro LGBT 😄😄😄,IkoAwowo
185,@eeveedaneve Lgbt/Simp,kayshhh_
186,"@MALAYSIAVIRALLL LGBT dan Trans ni adalah golongan ekstrimis. Memang tengok sifat2 diorang ni serupa ja, dari kt USA sampai la kat Malaysia.",paindekar
187,@PinkNews lgbt? news?,stevereddddd
188,@idextratime LGBT,ApipAr18
189,@maggienationshq lgbt sub 😭😭😭,sbsdeluxe
190,@TerraBrasilnot Virus lgbt,fiiEacoes
191,@HakanBarut5806 Lgbt lilere bak sen,Kral_Mansa1071
192,@idextratime @bliblidotcom Cacakan eweuh rivaldo mah eleh si anying. Hakan tah jersey lgbt,krjmk
193,@ibrahimdmr1 Refah Gelecek LGBT ortadan kalkacak,ertudmr
194,"no one told me gak boleh ngajarin adekku baca dengan terlalu keras, no one told me jangan becandain adekku yang takut hujan, no one told me jangan marahin keras sampe nyabut hp adekku sebentar just because lgbt thingy",27O3OO
195,"@wesaputboys22 @BennyWenda Ingat HAM itu buatan Barat masuk ke Indonesia untuk melindungi yang tidak masuk diakal contohnya kekerasan,pelecehan, pembunuhan, LGBT ketika yang melakukan orang berpengaruh dinegara dan mempunyai jabatantinggi itulah mereka takut menerapkan hukum Islam karna takut akan keadilan",dandanclaudia
196,@qasimss__ Lgbt lpg aids hiv zaruret ahiret ücret bekaret,vitesinsesi
197,@KAKY0INORIAKI lgbt,graceee_m00l
198,kondomlu oral ap #bursagay #bursa #bursalgbt #lgbt #gay #bursaarayis #bursaaktif #bursapasif #bursasex,sadman23341
199,@ElArabian13 lgbt,neytitiri
200,@princezuya @idextratime Pdhl jerman juga lgbt 🤣,AkhmadF10940169
201,@th3maya lgbt?,lennstars
202,@tugberk37 Lgbt nesil,foncukyus
203,@DorotaD10 Jebac lgbt,izalewskii
204,@KemalistCurious Lgbt alleylar istisna,TheLadyofslayyy
205,@idextratime Tim anti islam vs tim lgbt pildun,emcclub
206,"@brahmanda_95 Jadi tweet gw terakhir ya, buat kalian mau Str8 atau LGBT+ jangan sex bebas ya, kalau udah punya hawa nafsu ya cari pasangan yang setia.  Gw juga end of 10s lagi liar-liarnya banget gw tau kok, tapi tetep ya safe sex, cek rutin, dan setia.   Sehat-sehat ya semuanya 🫶🏻☺️✌🏼",hxzlym
207,LGBT HAIR….,allvrsjoyy
208,@Rainmaker1973 LGBT,Ayzaks
209,"@brahmanda_95 Dibilang tebaran data Str8 dengan STDs dan LGBT dengan STDs lebih banyak kaum minoritas yang kena, kenapa? Karena mereka ga tau harus berbuat apaan? Sorryy banget pas udah parah baru berobat (sehat semua kita), belum lagi kalau udah menikah dan punya anak 😭😭",hxzlym
210,@NalinisKitchen LGBT 🌈,_samosa_chai
211,@al_mustizz @LuckyGoldx @instablog9ja Nah LGBT,thisisbignoble
212,@DoguhanSCF @29ekimozlemi Hala kemalistim sadece lgbt biyeriyim,KemalistCurious
213,@tempodotco yg kemarin nembakin d rusia itu kayaknya dari organisasi LGBT ini?,Joe_58w
214,"@idextratime Diindo gabisa kyknya diadain aturan ginian,Krn pasti klo semisal kaum LGBT dibasmi psti ntar mncul lgi golongan2 yg teriak PELANGGARAN HAM,DLL""""",shippud3nn
215,LGBT,dojas420
216,@AbdulWa82444032 @H4T14K4LN4L42 @prabowo @jokowi Uwaw saya sebagai lgbt seperti avatar bisa mengendalikan air tanah api udara,tawan__28
